long,lat,tipo
-58.381178,-34.61647,Led
-58.38158,-34.616493,Led
-58.380279,-34.617629,Led
-58.381133,-34.617619,Led
-58.381133,-34.617619,Led
-58.381507,-34.617639,Led
-58.380278,-34.618497,Led
-58.381093,-34.618509,Led
-58.381093,-34.618509,Led
-58.381466,-34.618524,Led
-58.380173,-34.619769,Led
-58.381057,-34.619751,Led
-58.381057,-34.619751,Led
-58.381445,-34.619739,Led
-58.380075,-34.620939,Led
-58.382065,-34.591573,Led
-58.379984,-34.622116,Led
-58.381008,-34.622155,Led
-58.381455,-34.622156,Led
-58.381459,-34.623798,Led
-58.381419,-34.624613,Led
-58.379753,-34.623712,Led
-58.3799,-34.62269,Led
-58.378911,-34.615163,Led
-58.378847,-34.616351,Led
-58.378769,-34.617537,Led
-58.378728,-34.618509,Led
-58.378678,-34.62087,Led
-58.37861,-34.62209,Led
-58.378585,-34.623606,Led
-58.374582,-34.614921,Led
-58.376038,-34.61499,Led
-58.368932,-34.614714,Led
-58.369432,-34.615807,Led
-58.369438,-34.617124,Led
-58.369438,-34.617124,Led
-58.368628,-34.618293,Led
-58.368426,-34.6206,Led
-58.368308,-34.62168,Led
-58.368185,-34.622791,Led
-58.36827,-34.622055,Led
-58.36757,-34.615665,Led
-58.366731,-34.615605,Led
-58.366583,-34.616937,Led
-58.36645,-34.618125,Led
-58.366326,-34.619239,Led
-58.366193,-34.620418,Led
-58.366074,-34.621473,Led
-58.367027,-34.620474,Led
-58.367449,-34.616987,Led
-58.367165,-34.62164,Led
-58.371672,-34.617195,Led
-58.373092,-34.617146,Led
-58.374439,-34.617236,Led
-58.375913,-34.617343,Led
-58.377358,-34.61744,Led
-58.375847,-34.618517,Led
-58.373029,-34.618489,Led
-58.374368,-34.618509,Led
-58.37731,-34.618534,Led
-58.377192,-34.622055,Led
-58.375649,-34.621995,Led
-58.374151,-34.621934,Led
-58.372807,-34.621886,Led
-58.371339,-34.621826,Led
-58.369762,-34.621749,Led
-58.365562,-34.623978,Led
-58.366623,-34.62403,Led
-58.368073,-34.624058,Led
-58.369742,-34.624149,Led
-58.371192,-34.624215,Led
-58.37269,-34.624306,Led
-58.37402,-34.624424,Led
-58.375473,-34.624561,Led
-58.376758,-34.625088,Led
-58.378002,-34.625651,Led
-58.378994,-34.62606,Led
-58.380155,-34.626365,Led
-58.381486,-34.62779,Led
-58.367961,-34.625217,Led
-58.371834,-34.63066,Led
-58.366617,-34.628293,Led
-58.366495,-34.625194,Led
-58.36602,-34.62847,Led
-58.361363,-34.625069,Led
-58.36432,-34.62456,Led
-58.371114,-34.625349,Led
-58.372634,-34.625462,Led
-58.373972,-34.625544,Led
-58.376234,-34.626267,Led
-58.377264,-34.626825,Led
-58.378525,-34.627478,Led
-58.379606,-34.627733,Led
-58.379036,-34.629248,Led
-58.377925,-34.62864,Led
-58.376621,-34.627813,Led
-58.375615,-34.627254,Led
-58.374544,-34.626834,Led
-58.373871,-34.626708,Led
-58.372551,-34.626685,Led
-58.370964,-34.626658,Led
-58.411323,-34.614036,Led
-58.409879,-34.613984,Led
-58.408625,-34.613952,Led
-58.406549,-34.613626,Led
-58.405274,-34.613422,Led
-58.403142,-34.613347,Led
-58.401446,-34.613255,Led
-58.40023,-34.613189,Led
-58.397426,-34.613045,Led
-58.39616,-34.612961,Led
-58.39472,-34.612877,Led
-58.393276,-34.612778,Led
-58.391753,-34.612651,Led
-58.390362,-34.612555,Led
-58.388947,-34.612462,Led
-58.387494,-34.612379,Led
-58.386164,-34.612274,Led
