idSiniestro,NumVictimas,Anio,Mes,Dia,H,LugarHecho,TipoDeCalle,Calle,Cruce,Comuna,PosX,PosY,Participantes,Victima,Acusado,DiaSemana,Rol,Sexo,Edad,FechaFallecimiento,RangoHorario,Semestre
2016-0087,1,2016,Julio,3,0.0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin Cruce,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,Sábado,CONDUCTOR,MASCULINO,23.0,2016-07-03 00:00:00,madrugada,2
2016-0088,1,2016,Julio,11,15.0,CERETTI Y NUÑEZ,CALLE,CERETTI,Con Cruce,12,-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO,Lunes,PEATON,FEMENINO,70.0,2016-07-14 00:00:00,tarde,2
2016-0089,1,2016,Julio,14,6.0,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",Con Cruce,13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,Jueves,PEATON,MASCULINO,35.0,2016-07-14 00:00:00,mañana,2
2016-0090,1,2016,Julio,14,22.0,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",Con Cruce,5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS,Jueves,PEATON,MASCULINO,60.0,2016-07-15 00:00:00,noche,2
2016-0092,1,2016,Julio,15,11.0,AV GRAL PAZ Y AV LIBERTADOR ,AVENIDA,"PAZ, GRAL. AV.",Con Cruce,13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,Viernes,CONDUCTOR,MASCULINO,24.0,2016-07-15 00:00:00,mañana,2
2016-0093,1,2016,Julio,17,3.0,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",Con Cruce,6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,Domingo,CONDUCTOR,MASCULINO,35.0,2016-07-19 00:00:00,madrugada,2
2016-0095,1,2016,Julio,23,6.0,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,Con Cruce,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,Sábado,CONDUCTOR,MASCULINO,29.0,2016-07-23 00:00:00,mañana,2
2016-0096,1,2016,Julio,25,7.0,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Sin Cruce,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,Lunes,CONDUCTOR,MASCULINO,42.0,SD,mañana,2
2016-0097,1,2016,Julio,26,18.0,SOLIS Y MEXICO,CALLE,SOLIS,Con Cruce,1,-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO,Martes,PEATON,MASCULINO,80.0,2016-08-12 00:00:00,noche,2
2016-0098,1,2016,Julio,27,16.0,AV SAN JUAN Y ALBERTI,AVENIDA,SAN JUAN AV.,Con Cruce,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,Miércoles,CONDUCTOR,FEMENINO,43.0,SD,tarde,2
